Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
935688,729NABARD26 ,1128.90,1128.90,1128.90,1128.90,50.00,1,56445.00,INE261F07024,1000.00,7.29                     ,
935582,735NHAI31   ,1140.78,1145.00,1140.78,1143.75,1759.00,9,2010081.00,INE906B07EI0,1000.00,7.35                     ,
961753,736IIFCL28  ,1120.00,1120.00,1120.00,1120.00,50.00,1,56000.00,INE787H07149,1000.00,7.36                     ,
935506,736PFC25    ,1109.00,1109.00,1040.20,1040.20,14.00,2,15250.00,INE134E07547,1000.00,7.36                     ,
961749,738REC27TF  ,1150.00,1150.00,1150.00,1150.00,1000.00,1,1150000.00,INE020B07GX4,1000.00,7.38                     ,
935548,743REC35    ,1207.10,1207.10,1207.00,1207.00,20.00,2,24141.00,INE020B07JU4,1000.00,7.43                     ,
935612,749IREDA31  ,1141.00,1151.00,1141.00,1151.00,2.00,2,2292.00,INE202E07195,1000.00,7.49                     ,
935514,760PFC35    ,1131.40,1131.40,1131.40,1131.40,70.00,1,79198.00,INE134E07588,1000.00,7.60                     ,
935674,769HUDCO31  ,1215.00,1220.00,1215.00,1215.00,450.00,6,547750.00,INE031A07AT4,1000.00,7.69                     ,
935666,769NHAI31   ,1160.01,1160.01,1157.20,1159.50,601.00,6,696881.00,INE906B07EP5,1000.00,7.69                     ,
935584,76NHAI31    ,1173.01,1177.00,1173.01,1175.90,500.00,8,587220.00,INE906B07EJ8,1000.00,7.6                      ,
961744,812REC27    ,1152.00,1152.00,1151.50,1151.50,2.00,2,2303.00,INE020B07GH7,1000.00,8.12                     ,
961727,820NHAI22   ,1060.00,1061.90,1060.00,1061.50,1892.00,23,2007365.00,INE906B07CA1,1000.00,8.20                     ,
961729,820PFC2022  ,1047.35,1052.75,1047.00,1052.75,290.00,6,304171.00,INE134E07190,1000.00,8.20                     ,
961794,826IIFCL23  ,1157.99,1158.00,1157.99,1157.99,220.00,3,254758.00,INE787H07271,1000.00,8.26                     ,
961728,830NHAI27   ,1160.00,1160.00,1160.00,1160.00,500.00,6,580000.00,INE906B07CB9,1000.00,8.3                      ,
961784,839HUDCO23  ,1075.00,1109.79,1075.00,1079.00,700.00,10,754495.00,INE031A07931,1000.00,8.39                     ,
961828,840IRFC29   ,1224.50,1224.50,1224.50,1224.50,50000.00,1,61225000.00,INE053F07660,1000.00,8.40                     ,
961893,841IIFCL24B ,1148.00,1148.00,1120.01,1120.01,266.00,2,303520.00,INE787H07412,1000.00,8.41                     ,
961837,841IREDA24  ,1159.99,1159.99,1150.00,1150.00,50.00,2,57749.00,INE202E07112,1000.00,8.41                     ,
950493,843PFC22    ,5025.00,5025.00,5025.00,5025.00,4.00,1,20100.00,INE134E07216,5000.00,8.43                     ,
936802,845TCFS22   ,1019.90,1020.00,1019.90,1020.00,24.00,2,24479.00,INE306N07LI3,1000.00,8.45                     ,
961829,848IRFC24   ,1142.16,1142.16,1142.16,1142.16,60.00,1,68529.00,INE053F07678,1000.00,8.48                     ,
935383,849NTPC25   ,13.26,13.30,13.26,13.27,5488.00,40,72893.00,INE733E07JP6,12.50,8.49                     ,
936140,850MFL19    ,1006.00,1006.00,1006.00,1006.00,25.00,1,25150.00,INE414G07CL2,1000.00,8.50                     ,
936806,85TCFS24    ,1069.99,1069.99,1027.21,1027.21,29.00,2,30174.00,INE306N07LK9,1000.00,8.5                      ,
935856,865IBHFL26  ,535.00,535.00,500.00,500.00,250.00,7,126880.00,INE148I07GJ7,1000.00,8.65                     ,
936810,865TCFS27   ,1026.00,1026.00,1024.00,1025.05,880.00,12,901928.00,INE306N07LM5,1000.00,8.65                     ,
961820,866IIFCL24C ,1156.00,1156.00,1156.00,1156.00,450.00,2,520200.00,INE787H07354,1000.00,8.66                     ,
961819,866IIFCL34B ,1339.43,1339.43,1339.43,1339.43,150000.00,3,200914500.00,INE787H07347,1000.00,8.66                     ,
961737,870LNT22A   ,1017.00,1020.00,1017.00,1018.05,50.00,4,50891.00,INE691I07299,1000.00,8.70                     ,
961738,870LNT22B   ,1775.00,1793.00,1775.00,1779.01,327.00,19,582129.00,INE691I07307,1000.00,8.70                     ,
